Model Number,Name,Coast Appliances Price,Home Depot Price,Lowes Price,Trail Appliaces Price
NNSG448S                      ,Panasonic - 0.9 cu. Ft  Counter top Microwave in Stainless/Black                                    ,152.98,0,0,0
DCF145A3WDB                   ,Danby - 14.5 cu. Ft  Chest Freezer in White                                                         ,1104.98,0,1331.7,0
HDDB30WS                      ,Thermador - 29.9375 Inch 600 CFM Wall Mount and Chimney Range Vent in Stainless                     ,4229,0,0,0
EIDW1815US                    ,Electrolux - 49 dBA Built In Dishwasher in Stainless                                                ,1099.96,945,0,0
T411VD.T                      ,Asko - 5.1 cu. Ft  Electric Dryer in Titanium                                                       ,2589.98,0,0,0
WZF56R16DW                    ,Whirlpool - 16 cu. Ft  Upright Freezer in White                                                     ,1495.98,1495,1395,0
MOCL215-SS01B                 ,Marvel - 14.875 Inch Ice Maker in Stainless                                                         ,4974.98,0,0,0
GPT225SSLSS                   ,GE - 54 dBA Portable Dishwasher in Stainless                                                        ,1194.98,1194,0,0
UCVM30XS                      ,Thermador - 31 Inch (Blower Sold Separately) CFM Downdraft Vent in Stainless                        ,3329,0,0,0
GTW680BMRDG                   ,GE - 5.3 cu. Ft  Top Load Washer in Grey                                                            ,844.98,0,0,0
CFEF3016VS                    ,Frigidaire - 5.3 cu. ft Electric Range in Stainless                                                 ,894.99,894,0,0
WRT134TFDW                    ,Whirlpool - 28 Inch 14.33 cu. ft Top Mount Refrigerator in White                                    ,1075.98,1075,0,0
WFW6620HW                     ,Whirlpool - 5.2 cu. Ft  Front Load Washer in White                                                  ,1245.98,0,0,0
T611VU.W                      ,Asko - 5.1 cu. Ft  Electric Dryer in White                                                          ,3069.98,0,0,0
BQDD130SS                     ,Broan - 30 Inch 375 CFM Under Cabinet Range Vent in Stainless                                       ,499.98,0,0,0
RC492705                      ,Gaggenau - 35.75 Inch 20.6 cu. ft Built In / Integrated Refrigerator in Panel Ready                 ,13029,0,0,0
LDT7808SS                     ,LG - 42 dBA Built In Dishwasher in Stainless                                                        ,1294.98,0,0,0
FFCD2413US                    ,Frigidaire - 60 dBA Built In Dishwasher in Stainless                                                ,494.99,494,0,0
ELFE763CBT                    ,Electrolux - 8 cu. Ft  Electric Dryer in Titanium                                                   ,1194.96,0,0,0
FNS 37492 IE                  ,Miele - 7.8 cu. Ft  Built In Freezer in Panel Ready                                                 ,4499,0,0,0
JS48NXFXDE                    ,Jennair - 47.8 Inch 29.2 cu. ft Built In / Integrated Refrigerator in Panel Ready                   ,14199,0,0,0
MLCL215-SG01B                 ,Marvel - 14.875 Inch Ice Maker in Stainless                                                         ,4704.98,0,0,0
ELFW7537AW                    ,Electrolux - 5.2 cu. Ft  Front Load Washer in White                                                 ,1144.99,1145,0,0
RC462701                      ,Gaggenau - 23.75 Inch 13.1 cu. ft Built In / Integrated Refrigerator in Panel Ready                 ,9779,0,0,0
